customer_id,transaction_id,ship_to_address,ship_to_address_1,ship_to_city,ship_to_country,ship_to_customer_number,ship_to_email,ship_to_name,ship_to_phone,ship_to_state,ship_to_zip,first_time_customer,order_dollar_amount,num_items,age,web_order,total_transactions_to_date,hour_of_day
10027,28,?,74459 North Derby Ave.,Alhambra,USA,328462,Shannon@porttitor.gov,Amaya *Cervantes,709-934-8504,MN,4104,N,120.6,11,84.3,N,56,21
10028,29,?,26841 East Norfolk Island Ct.,Lubbock,USA,140641,Martina@purus.us,Colin *Acevedo,044-012-6992,OR,43742,Y,61.5,2,32.9,N,65,21
10029,30,?,23937 West Angola Ln.,Sandy Springs,USA,664902,Ross@id.us,Harlan *Hendrix,172-328-0268,NM,37138,Y,702.8,4,44.7,N,25,16
10030,31,?,11131 South Colombia Blvd.,Fulton,USA,224401,Fritz@inceptos.gov,Hiram *Chandler,093-894-1637,SD,94197,N,804.3,2,58,Y,24,11
10031,32,?,48526 South Brazil Ct.,Little Falls,USA,323671,Wendy@vel.net,Moana *Cervantes,972-727-6163,ME,39053,N,109.8,18,96.4,Y,35,21
10032,33,?,15458 East Covington St.,La Mirada,USA,149053,Thomas@viverra.edu,Quintessa *Miller,832-886-9945,IN,48276,N,130.9,14,61.8,Y,92,4
10033,34,?,67921 South Mali Ct.,Glendale,USA,670474,Drew@libero.net,Noah *Garza,396-955-6743,KY,27847,N,479.4,18,51.2,Y,64,5
10034,35,?,27732 South Japan Way,Clarksville,USA,285077,Zahir@vitae.edu,Merrill *Farmer,130-175-2027,UT,77351,Y,50.1,18,12.8,Y,30,18
10035,36,?,85011 West Marshall Islands Ln.,Sacramento,USA,453818,Rigel@dignissim.net,Tyrone *Walton,771-525-0326,IN,26627,N,604.1,8,73.2,Y,66,1
10036,37,?,90451 East Belarus St.,Ansonia,USA,534195,Silas@feugiat.edu,Cullen *Hawkins,546-070-5320,SC,52967,Y,553.2,11,101.3,Y,94,3
10037,38,?,60901 East Kenner St.,Bossier City,USA,191365,Erasmus@porta.gov,Jillian *Pitts,381-714-0626,WV,29652,Y,997.1,15,91.9,Y,45,11
10038,39,?,31214 West Cedar City Blvd.,Spokane Valley,USA,550267,Hyatt@ad.gov,Mia *Espinoza,972-089-0040,NY,48698,Y,313.3,18,82.2,Y,53,17
10039,40,?,47149 South Belgium Ct.,San Juan,USA,90,Holmes@rhoncus.us,Akeem *Turner,627-938-5727,CO,16115,Y,851.3,11,36.8,Y,70,12
10040,41,?,1525 East Azerbaijan Way,Eugene,USA,91,Emerald@Fusce.net,Nehru *Walls,909-003-5274,HI,19676,N,492.3,20,77.7,Y,10,21
10041,42,?,48302 North Portland Blvd.,Akron,USA,314297,Justina@risus.gov,Lillith *Chase,348-646-2056,ID,31446,Y,501.5,7,10.7,N,37,7
10042,43,?,64815  Viet Nam Ln.,Canandaigua,USA,568694,Levi@inceptos.us,Eagan *Caldwell,555-192-5434,TN,64356,Y,240.1,10,18.1,Y,81,2
10043,44,?,93073 South American Samoa Ave.,Glens Falls,USA,477364,Cooper@sit.net,Brenna *Oneal,776-973-5922,ME,12753,Y,948.1,6,43.9,N,87,17
10044,45,?,77988 East Israel St.,Greensburg,USA,440201,Felix@mus.net,Nissim *Raymond,408-898-5791,IA,16395,N,280.1,16,29.5,Y,17,11
10045,46,?,66655 South Eau Claire St.,College Park,USA,687942,Hasad@ipsum.edu,Hamish *Delacruz,468-494-5562,HI,82950,Y,472.7,16,92.1,Y,15,0
10046,47,?,59273 East Dominican Republic St.,Del Rio,USA,758273,Quynn@rhoncus.edu,Fuller *Wooten,727-476-9434,ID,35223,Y,65.7,3,100,Y,50,4
10047,48,?,80719 East Australia St.,Rancho Cordova,USA,736007,Hilel@nisl.gov,Drew *Calhoun,733-745-6403,VT,6493,N,573.3,6,16.2,N,43,20
10048,49,?,95831 South Madagascar St.,Mount Vernon,USA,185047,Addison@faucibus.org,Jayme *Bradshaw,024-205-4942,MA,77380,N,748.3,14,106.2,N,18,17
10049,50,?,39502 South Bahrain Ct.,Lincoln,USA,374066,Ivan@porta.edu,Zena *Watkins,135-297-9810,MA,45399,N,334.5,17,29.6,N,7,18
10050,51,?,14329 East Singapore Ave.,Evanston,USA,436687,Hilda@dolor.org,Craig *Hoffman,277-107-3568,AK,54161,N,451.4,9,61.9,Y,3,10
10051,52,?,36105 West Hickory Blvd.,Newton,USA,608779,Aphrodite@tristique.edu,Jackson *Leach,846-176-4495,IA,43610,N,6.9,19,17.9,Y,57,19
10052,53,?,93718  Livonia St.,Sedalia,USA,750890,Oren@aliquet.us,Shay *Talley,346-102-3564,NV,65528,Y,781,19,70.4,Y,47,17
10053,54,?,21539 South Bosnia and Herzegovina Blvd.,Stafford,USA,717495,Harrison@Integer.net,Patience *Cooley,683-609-6604,DC,53891,Y,75.6,18,87.7,Y,65,23
10054,55,?,5064 West Christmas Island Ct.,Chicago,USA,213672,Madeline@suscipit.edu,Kaseem *Robinson,479-219-7499,WA,95779,N,75.9,14,32.6,Y,14,11
10055,56,?,36422 South Bahrain Ln.,Pulaski,USA,968448,Olympia@suscipit.us,MacKenzie *Hebert,851-685-8685,SC,15909,Y,316.2,19,96.2,Y,94,0
10056,57,?,30812 South Canada Way,Dixon,USA,229874,Rahim@condimentum.edu,Caleb *Gates,484-757-1063,AZ,36416,Y,895.7,12,60.5,N,31,21
10057,58,?,13806 West Angola St.,East Lansing,USA,735797,Joan@ligula.gov,Karyn *Hayes,969-537-6384,NH,39495,N,339.3,10,10.8,N,77,8
10058,59,?,41169 South Denmark Way,Bozeman,USA,145,Destiny@Integer.org,Nicholas *Wyatt,614-713-9598,VA,40428,N,246.4,14,44.9,N,71,22
10059,60,?,67125 West Ukraine Ln.,Compton,USA,511961,Levi@accumsan.edu,Cade *Humphrey,526-927-6501,FL,50690,N,123.7,4,47.9,Y,62,4
10060,61,?,41232 East Antigua and Barbuda Ln.,Hoboken,USA,174227,Hayden@euismod.edu,Thaddeus *Wynn,005-578-3746,TX,67401,N,45.6,6,29.1,Y,17,0
10061,62,?,19021 South Monterey Park Ct.,Biloxi,USA,950299,Lane@nostra.org,Maxwell *Reynolds,527-955-9368,MI,10115,N,37.4,7,42.9,N,64,20
10062,63,?,73829 South Bahamas St.,Somersworth,USA,689927,Walter@mollis.net,Mona *Mueller,237-756-0195,ME,94160,N,325,3,36.9,Y,64,6
10063,64,?,69211 South Greenland St.,Mount Vernon,USA,182366,Owen@taciti.com,Cailin *Riley,484-027-7242,CA,59535,N,846.8,2,100,N,80,3
10064,65,?,97746 North Fulton Blvd.,Burlington,USA,724652,Patience@felis.gov,Haviva *Decker,934-722-1273,NY,53183,Y,398.7,5,66,Y,74,20
10065,66,?,10129 North Bell Gardens Ct.,Sherrill,USA,999956,Yael@erat.us,Hyatt *Moreno,968-895-1566,WI,70399,N,912.3,9,18.7,Y,85,16
10066,67,?,85691 East Croatia Ln.,Johnson City,USA,267776,Azalia@Curae.gov,Ivor *Wise,895-669-6485,GA,94128,N,1.8,18,85.6,N,57,9
10067,68,?,14836 North Cyprus Ln.,Somerville,USA,753378,Naida@semper.gov,Alea *Green,722-728-2852,NY,2960,Y,163.6,3,96.6,N,20,21
10068,69,?,45113 East Comoros St.,Concord,USA,385881,Holmes@leo.edu,Xanthus *Kennedy,584-952-8626,FL,43592,Y,241.1,17,13.7,N,78,15
10069,70,?,70897 South Romania Ln.,Barre,USA,826392,Elton@per.org,Marsden *Mitchell,495-690-7657,AK,22422,Y,867,20,34.7,N,35,22
10070,71,?,13649 West Boulder City Way,Yazoo City,USA,336728,Berk@molestie.com,Xavier *Lopez,830-968-7550,LA,96802,Y,607.5,8,40.6,Y,26,18
10071,72,?,51001 East Malta Blvd.,Gloucester,USA,989971,Sophia@hymenaeos.gov,Valentine *Clayton,606-397-0474,WV,9744,Y,787.6,15,25.6,N,79,9
10072,73,?,44840  Chelsea St.,Kalispell,USA,537998,Moses@lacus.gov,September *Lynn,951-818-6639,NH,91078,Y,419.4,20,53.3,Y,72,12
10073,74,?,45015 South Cocos (Keeling) Islands Ct.,Hermitage,USA,641845,Kaye@lectus.org,Mariko *Giles,252-288-7665,OR,65039,Y,625.1,1,11.4,Y,81,20
10074,75,?,87084  Grass Valley Ct.,Milford,USA,192,Hiram@a.gov,Quemby *Murray,134-800-0999,DC,33129,Y,200.9,6,59.7,N,39,16
10075,76,?,97863 North Saint Helena Ln.,Bremerton,USA,774426,Emi@Proin.us,Jolene *Perry,443-970-2766,CO,4399,Y,216,13,92,Y,74,15
10076,77,?,78152  Oil City Ct.,San Antonio,USA,643087,Lynn@ut.com,Kelly *Fowler,892-865-0569,VT,30742,N,790.6,14,58,Y,90,9
10077,78,?,61882 North Connellsville Ct.,Bend,USA,595306,Eaton@Donec.gov,Bruce *Lara,787-621-1233,WV,80974,Y,448.8,18,15.8,Y,96,16
10078,79,?,44185  La Cañada Flintridge Ave.,Carbondale,USA,209703,Timothy@Curabitur.net,Ivy *Melendez,266-590-6306,MN,74684,Y,689,19,10.4,Y,13,10
10079,80,?,18484 West Amesbury Ln.,Hanahan,USA,258142,Jenna@tempus.edu,Murphy *Lester,436-668-6569,SD,74122,N,668.3,1,99.8,N,10,10
10080,81,?,29337 East Idaho Springs Way,Pittsfield,USA,431626,Perry@lobortis.com,Beverly *Rich,851-939-2404,DE,12899,Y,143.9,5,72.6,Y,38,8
10081,82,?,1764 East Duquesne Ct.,Bethany,USA,290903,Ethan@laoreet.net,Dylan *Watson,741-985-8036,AK,59768,N,67.4,1,30.2,Y,82,6
10082,83,?,56832 East Sierra Leone Blvd.,Palo Alto,USA,971693,Cairo@feugiat.org,Anastasia *Savage,528-767-1996,SD,10504,N,474.7,11,27.4,Y,35,16
10083,84,?,35054 North Korea Ct.,Missoula,USA,506590,Ivana@nostra.edu,Aidan *Kaufman,763-850-2456,TX,65757,Y,568.1,11,92.7,N,67,16
10084,85,?,89898 West Cocos (Keeling) Islands St.,Statesboro,USA,265122,Len@sem.com,Ruth *Richardson,622-734-4367,WA,82549,N,134,19,74.6,N,53,0
10085,86,?,23667 West Iraq St.,Waukegan,USA,285986,Daquan@nibh.gov,Sawyer *Green,291-740-3662,NY,14122,N,690.1,15,83.3,Y,63,1
10086,87,?,37819  Armenia Way,Washington,USA,496574,Kyle@Nulla.edu,Daquan *Bright,813-609-7669,MD,45193,Y,8.6,14,25,Y,49,17
10087,88,?,60999 North Nauru Blvd.,Plattsburgh,USA,893551,Shellie@Sed.edu,Gannon *Wooten,677-846-7341,DC,73606,N,907.8,16,48.5,Y,72,6
10088,89,?,53161 West Saint Lucia Blvd.,Norfolk,USA,745908,Phyllis@porttitor.edu,Darius *Fleming,922-208-5064,MI,18962,Y,457.9,2,50,Y,49,5
10089,90,?,9499 West Lowell Blvd.,Kent,USA,529621,Anne@per.net,Dominique *Nunez,017-727-5082,ME,91888,N,995.7,5,106.7,Y,23,16
10090,91,?,76519 North Burundi Ln.,Las Vegas,USA,249,Kylan@ipsum.us,Chadwick *Meyers,528-441-4365,NH,35190,N,591.1,19,35.9,N,89,10
10091,92,?,93270  Vanuatu Blvd.,Rock Springs,USA,865987,Tanya@non.org,Aaron *Dominguez,908-129-2248,MT,21754,Y,862.2,14,98.3,N,7,3
10092,93,?,89350  Philippines Ln.,Temecula,USA,295100,Rooney@per.org,Dai *Tyson,788-575-2860,CT,32191,N,282,5,93.5,Y,7,21
10093,94,?,79997 South Grand Junction Way,Salem,USA,218270,Rylee@consectetuer.us,Charles *Harrington,911-373-3736,TN,22663,N,371.4,7,16.8,N,71,12
10094,95,?,38721 East British Indian Ocean Territory Way,Austin,USA,137943,Robert@nulla.org,Raymond *Grant,173-005-4481,WY,9421,N,423.5,18,73.3,Y,12,3
10095,96,?,56266 East Sudan Ct.,Grand Island,USA,365825,Echo@tempus.gov,Margaret *Torres,104-196-2060,MN,48268,Y,653.4,9,70.3,Y,29,18
10096,97,?,90838  Argentina St.,Grass Valley,USA,404500,Giselle@vestibulum.us,Rama *Anderson,072-085-1589,VA,87806,N,918.5,19,34.3,N,85,9
10097,98,?,86815 West Chicago Ave.,Pembroke Pines,USA,361068,Macy@Nullam.gov,Iliana *Lindsay,805-828-1547,HI,13476,N,402.7,5,21.5,Y,29,22
10098,99,?,40190 North Colombia Blvd.,Fort Smith,USA,627577,Zephr@risus.edu,Hedley *Beasley,031-190-3697,NJ,92131,N,910.5,3,19.6,N,79,3
10099,100,?,11249 South San Marino Ct.,Bloomington,USA,786292,Burke@Nunc.gov,Dalton *Kramer,662-481-3829,CT,45503,Y,402.5,16,92.9,N,78,13
10100,101,?,43462  British Indian Ocean Territory Blvd.,El Monte,USA,724126,Brady@rhoncus.edu,Judah *Perkins,683-035-4051,KS,21367,Y,814.4,9,103.7,N,26,0
10101,102,?,87282 East Afghanistan Way,Pembroke Pines,USA,521571,Zelda@netus.edu,Colt *Clark,522-025-7082,SD,82755,N,962,6,59,N,80,11
10102,103,?,4690 East Colombia Ave.,Davis,USA,278,Vincent@suscipit.net,Jamal *Brady,875-333-5183,UT,68637,Y,525.9,3,65.6,N,9,0
10103,104,?,8130  Canada Ave.,Denver,USA,737489,Amery@rhoncus.edu,Heather *Klein,679-392-7910,NH,21428,N,553.7,3,93.9,N,79,3
10104,105,?,13633 West Port Orford Way,Palm Springs,USA,817033,Heidi@sollicitudin.edu,Erin *Massey,832-134-2460,PA,66721,N,949.2,2,84.7,Y,18,15
10105,106,?,75689  Bhutan Ln.,Kent,USA,982194,Boris@ultricies.com,Kaitlin *Dalton,676-945-3914,MD,76005,N,864,2,32,Y,3,13
10106,107,?,80483 West Equatorial Guinea Ave.,Murrieta,USA,789050,Cleo@commodo.net,Phillip *Malone,859-028-1691,VT,9769,N,917.5,18,16.7,Y,23,8
10107,108,?,19303 West Cambodia Way,Gatlinburg,USA,285,Rhea@purus.gov,Hope *Cummings,748-175-3785,VT,46381,N,421.3,14,89.3,Y,96,7
10108,109,?,49652 East Niue Ln.,Provo,USA,446615,Noah@Curabitur.us,Yael *Velez,525-686-3895,AZ,57145,Y,33.1,17,26.2,Y,51,7
10109,110,?,97392 North Bay St. Louis Blvd.,Bremerton,USA,613396,Mason@dis.us,Kibo *Leonard,643-746-9873,PA,63437,Y,517.4,2,107.5,N,94,0
10110,111,?,56819 East Bosnia and Herzegovina Ct.,Narragansett,USA,296119,Iris@Vestibulum.us,Omar *Patton,183-893-0186,SD,45521,Y,536.3,6,91.1,Y,29,0
10111,112,?,796 West Solomon Islands Blvd.,Kearney,USA,210507,Allistair@Integer.edu,Yoshio *Anderson,810-014-5240,MN,10443,Y,649.1,14,81.2,Y,2,23
10112,113,?,43688 North Fresno St.,Canton,USA,625490,Quintessa@Cras.com,Josephine *Little,780-858-4479,ME,12039,N,944,2,15.6,N,70,17
10113,114,?,39569  Yemen Way,Agawam,USA,481714,Kylynn@montes.us,Angelica *Castro,006-350-3064,TX,78648,Y,978.9,14,19.4,Y,47,21
10114,115,?,3788  Forest Lake Ct.,Rome,USA,347831,Vaughan@sociis.net,Shad *Hutchinson,134-865-7145,MI,50946,Y,957.7,20,101.5,N,45,3
10115,116,?,80759  Afghanistan Blvd.,Lockport,USA,307,Jessamine@bibendum.com,Lucy *Best,336-325-7474,WA,66101,N,315.4,13,89,Y,37,2
10116,117,?,85253 West Australia Way,Canton,USA,504041,Kennan@netus.org,Phoebe *Macias,406-038-6529,VA,2679,Y,141.4,6,27.3,N,98,18
10117,118,?,94595 East Iraq Ave.,Las Vegas,USA,242787,Oleg@habitant.com,Jackson *Vargas,955-655-8115,NV,89102,N,113.2,4,91.8,N,93,12
10118,119,?,5906 East Honduras Ln.,Lahaina,USA,260400,Jonas@rhoncus.com,Irma *Weber,985-346-7752,WV,54061,Y,868.7,7,86,Y,48,6
10119,120,?,50723  Singapore Ln.,Dixon,USA,313,Graiden@molestie.edu,Bert *Chandler,488-935-9268,RI,41929,Y,992.2,7,25.6,N,84,11
10120,121,?,67907  China Ct.,Waltham,USA,205130,Laurel@sociis.us,John *Hendricks,022-660-3728,CO,77314,Y,39.3,7,30.8,N,32,22
10121,122,?,35617 West Egypt Way,Myrtle Beach,USA,321,Merritt@lacus.edu,Dora *West,299-295-3556,WI,38994,N,277,19,77.2,Y,39,2
10122,123,?,70504  Auburn Hills Ct.,Reading,USA,787530,Maile@ligula.edu,Otto *Morris,651-779-4873,OR,39786,N,65.4,17,78.5,N,39,22
10123,124,?,89192 North Ukraine Ave.,Saint Albans,USA,403177,Lane@aliquam.gov,Valentine *Morse,604-603-0541,HI,92887,Y,55,10,99.4,N,61,5
10124,125,?,39599 South Nicaragua Way,San Juan Capistrano,USA,485973,Reuben@inceptos.net,Hilel *Rivas,970-888-5489,OH,32882,Y,627.5,13,22.7,Y,77,15
10125,126,?,34421 South Enid Ct.,Douglas,USA,414945,Quinlan@Cum.com,Aretha *Weiss,235-496-1288,AZ,96577,Y,254.4,5,20.9,N,20,12
10126,127,?,57703 West Cape May Ave.,Laughlin,USA,529821,Wesley@at.gov,Eagan *Mason,918-881-6721,OH,69260,Y,699.6,10,103.1,Y,37,21
10127,128,?,72497 West Uganda St.,Norwalk,USA,480973,Akeem@Pellentesque.gov,Wilma *Blake,223-288-1020,CA,48000,Y,242.2,8,39.7,Y,45,20
10128,129,?,5132 West Gardena Blvd.,Hickory,USA,550028,Moana@Duis.com,Rama *Chan,640-580-2129,NC,64850,N,344.2,1,84.8,N,94,2
10129,130,?,17173 West Cedar Rapids Way,Santa Ana,USA,111291,Angelica@lobortis.com,Bethany *Reynolds,325-791-1722,LA,98306,Y,440.7,2,49.3,Y,90,12
10130,131,?,59836 South Mexico Ct.,Los Angeles,USA,322250,Gail@sollicitudin.gov,Wing *Dudley,857-192-8289,CA,65761,N,776.3,12,94.6,Y,94,11
10131,132,?,8242 East Ghana Ave.,Rialto,USA,949995,Tanner@tempor.gov,Otto *Strong,663-852-8994,ID,54182,Y,464.8,3,48.5,N,16,5
10132,133,?,75992  Cambodia Ct.,Las Vegas,USA,218755,Veronica@tincidunt.com,Zoe *Pierce,189-790-6114,NV,89109,N,197.7,3,66.1,Y,84,3
10133,134,?,82049 East Greece Blvd.,Rockville,USA,783268,Wang@imperdiet.net,Lunea *Malone,130-338-0054,IN,28490,N,277.5,8,84.1,Y,27,17
10134,135,?,34940 North Del Rio Ave.,Laguna Woods,USA,419554,Hadley@ridiculus.com,Madeson *House,434-328-4692,DC,34152,Y,900.3,8,43.1,N,31,5
10135,136,?,76634 East Swaziland Ave.,Gilbert,USA,209851,Naida@aliquam.gov,Chelsea *Larsen,464-383-3621,AK,56123,N,866,9,76.7,N,33,4
10136,137,?,82764  Canada Ct.,Toledo,USA,762806,Idona@in.org,Kieran *Le,112-271-0491,VT,9521,Y,138.9,16,90.6,N,82,15
10137,138,?,49399 East Claremont Ct.,Durango,USA,371901,Christian@a.org,Stacey *Glass,667-989-1905,WI,27580,N,936.8,6,80.6,Y,68,8
10138,139,?,20934  Somalia St.,Thibodaux,USA,413840,Riley@scelerisque.us,Arsenio *Barrett,333-432-8364,SC,19383,Y,273.7,13,64.5,Y,7,13
10139,140,?,24956 East Algeria Blvd.,Enid,USA,988984,Zenia@mi.gov,Mikayla *Emerson,494-585-1476,NM,64462,N,130.6,14,25.3,Y,28,1
10140,141,?,59370 West Morocco Ln.,Oak Ridge,USA,385289,Elizabeth@accumsan.net,Kirsten *Delaney,808-391-4524,AK,70733,Y,682.7,3,89.7,Y,92,20
10141,142,?,31882 North Fiji Blvd.,Arvada,USA,387,Xander@nisl.us,Jakeem *Sparks,641-787-5830,IA,77892,Y,256.3,13,91.9,N,69,1
10142,143,?,27186 North Togo Blvd.,Muskogee,USA,164197,Sara@et.gov,David *Hayden,472-884-5823,TN,48524,Y,942.8,16,95.3,N,10,6
10143,144,?,42060 North Hartford St.,Las Vegas,USA,924385,Garth@lorem.com,Jescie *Harding,114-336-2010,NV,89109,Y,44.9,4,71.5,Y,25,19
10144,145,?,49787 South Madison St.,Vineland,USA,478307,Mechelle@auctor.org,Armand *Delaney,269-107-1855,AK,87429,N,781,10,59.8,N,40,3
10145,146,?,5110 North United Arab Emirates Ln.,Laguna Beach,USA,265460,Deacon@sodales.us,Sawyer *Benson,313-495-0551,MT,96360,N,923.1,6,57.4,Y,87,19
10146,147,?,31165 West Wallis and Futuna Ln.,Lock Haven,USA,152402,Allistair@Quisque.us,Maxine *Campos,924-647-3422,ID,89820,Y,295.1,17,12.5,Y,70,8
10147,148,?,63489 East Colombia Ln.,Medford,USA,991372,Connor@malesuada.edu,Quinlan *Donovan,913-862-8386,DC,32763,Y,305.8,12,20.3,Y,93,19
10148,149,?,71248 North China Ct.,Astoria,USA,921162,Elton@nisi.us,Jenette *Merritt,673-682-7898,ID,91403,Y,943.8,14,44.8,N,45,0
10149,150,?,69690  Kuwait Way,Mobile,USA,771913,Myra@metus.net,Seth *Schmidt,377-737-7866,KS,88603,Y,908.8,16,16.6,Y,91,8
10150,151,?,73220  Syrian Arab Republic Way,San Rafael,USA,673721,Abra@tempor.us,Madonna *Howard,855-460-0776,LA,31762,Y,806.4,4,78.7,Y,100,4
10151,152,?,67667 West Burundi Blvd.,San Jose,USA,944484,Mark@bibendum.gov,Jermaine *Gray,693-862-5535,KY,61907,Y,580.7,17,80.4,Y,10,16
10152,153,?,52700 West Bulgaria Blvd.,Vernon,USA,613896,Kuame@cursus.net,Camden *Boone,396-751-4571,DE,72160,N,611.9,14,43.6,N,30,10
10153,154,?,82801 South Angola St.,Sedalia,USA,962427,Lev@consectetuer.edu,Melinda *Huff,104-009-6272,DC,46439,Y,154.1,20,48.1,Y,97,14
10154,155,?,5099  Brunei Darussalam Ln.,North Adams,USA,462026,Brock@Integer.gov,Melyssa *Hurst,616-134-4655,NV,50623,N,38,16,12.1,N,60,20
10155,156,?,68193 North Anaconda Ave.,Hoover,USA,290810,Hilary@ridiculus.net,Jared *Shields,828-826-5127,AZ,2958,N,816.9,17,66.1,Y,67,16
10156,157,?,28208 North Bahamas Way,Oneonta,USA,412551,Rachel@hymenaeos.edu,Hermione *Maddox,038-838-2958,NM,37295,N,778.9,8,42.7,N,43,3
10157,158,?,36784 West Ghana Ln.,North Chicago,USA,423,Veda@morbi.us,Jescie *Park,971-064-7384,OH,28294,N,502.9,14,32.9,Y,22,14
10158,159,?,4006 East Holy See (Vatican City State) Ct.,Princeton,USA,982307,Rooney@mi.edu,Madaline *Cherry,252-532-8086,ME,19047,N,883.7,14,81.8,N,53,14
10159,160,?,28726 North Berlin Ave.,Chandler,USA,388470,Stella@taciti.com,Maris *Patel,242-548-3377,MI,90994,N,801.5,2,22.7,N,82,20
10160,161,?,43878 West Saint Vincent and The Grenadines Blvd.,Henderson,USA,475333,Keegan@placerat.us,Idola *Lucas,728-065-7489,VA,787,N,863,12,73.4,N,15,10
